epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9714,1.13469,1.43217,1.23582,0.6574,0.53408,0.61541,0.45878,1.0809,1.12502,1.12586,8.33e-06,8.33e-06,8.33e-06
2,118.85,1.11055,1.3452,1.23836,0.68137,0.54133,0.62523,0.46615,1.07928,1.1005,1.12345,1.19595e-05,1.19595e-05,1.19595e-05
3,176.722,1.19915,1.4087,1.23879,0.65633,0.5539,0.63121,0.47059,1.07457,1.08976,1.12171,9.3058e-06,9.3058e-06,9.3058e-06
